id	mantra
106	akāry-akāry avakīrṇī stenaḥ
107	akārṣam ahaṃ tad yan mama karmāgāsiṣaṃ yad geyam
108	akārṣam ahaṃ tad yan mama karmodgātāraṃ pṛchate
109	akārṣam ahaṃ tad yan mama hotāraṃ pṛchate
110	akupyantaḥ kupāyavaḥ
111	akūpārasya dāvane
112	akūpāraḥ salilo mātariśvā
113	akṛkṣata
114	akṛkṣāma
115	akṛṇutam antarikṣaṃ varīyaḥ
116	akṛṇudhvaṃ svapasyā suhastāḥ
117	akṛṇot sūryavarcasaḥ
118	akṛṇoḥ sūryatvacam
119	akṛṇvata bhiyasā rohaṇaṃ divaḥ
120	akṛṇvata śravasyāni duṣṭarā
121	akṛtāya karmaṇe svāhā
122	akṛttaruk tvayā yujā vayam
123	akṛtvānyad upayojanāya
124	akṛṣṭapacye aśane dhānye yaḥ
125	akṛṣṭā ye ca kṛṣṭajāḥ
126	akośāḥ kośinīś ca yāḥ
127	akośā yāś ca kośinīḥ
128	aktaṃ rihāṇā viyantu vayaḥ
129	aktunāhnāṃ vayunāni sādhat
130	aktuṃ na yahvam uṣasaḥ purohitam
131	aktoḥ prabhriyeta
132	akto gobhiḥ kalaśān ā viveśa
133	aktor yuvānaṃ nṛmaṇā adhā patim
134	aktor vyuṣṭau paritakmyāyāḥ
135	aktor vyuṣṭau paritakmyāyām
136	akrata
137	akran karma karmakṛtaḥ
138	akrandad agni stanayann iva dyauḥ
139	akrandayo nadyo roruvad vanā
140	akrann imaṃ pitaro lokam asmai
141	akrann uṣāso vayunāni pūrvathā
142	akravihasta sukṛte paraspā
143	akrātām
144	akrān devo na sūryaḥ
145	akrān samudraḥ prathame vidharman
146	akrīḍan krīḍan harir attave'dan
147	akrukṣad iti manyate
148	akruddhasya yotsyamānasya
149	akruddhaḥ sumanā bhava
150	akrūreṇeva sarpiṣā
151	akro na babhriḥ samithe mahīnām
152	akṣaṃs tān
153	akṣakāmā manomuhaḥ
154	akṣaṇvate svāhā
155	akṣaṇvatā lāṅgalena
156	akṣaṇvantaḥ karṇavantaḥ sakhāyaḥ
157	akṣaṇvan parivapa
158	akṣaṇvan vapa keśaśmaśruroma parivapa nakhāni ca kuru
159	akṣataṃ cāriṣṭaṃ cāstu
160	akṣatam ariṣṭam ilāndam
161	akṣatam asy ariṣṭam ilānnaṃ gopāyanam
162	akṣadrugdho rājanyaḥ
163	akṣan
164	akṣann amīmadanta hi
165	akṣann amīmadantātha tvābhiprapadyāmahe
166	akṣan pitaraḥ
167	akṣam avyayaṃ na kilā riṣātha
168	akṣayya
169	akṣayyaḥ padyakmyaś ca
170	akṣayyam
171	akṣayyāt syandate yathā
172	akṣayyo'si
173	akṣarapaṅktiś chandaḥ
174	akṣaraṃ paramaṃ prabhum
175	akṣaraṃ brahma saṃmitam
176	akṣaraśaḥ paccho'mṛtaṃ lihānāḥ
177	akṣarājāya kitavam
178	akṣarād dīptir ucyate
179	akṣareṇa prati mima etām
180	akṣareṇa prati mimīte arkam
181	akṣareṇa mimate sapta vāṇīḥ
182	akṣare brahmasaṃmite
183	akṣa vīḍo vīḍita vīḍayasva
184	akṣasyāham ekaparasya hetor
185	akṣāḥ phalavatīṃ dyuvam
186	akṣāṇāṃ vagnum upajighnamānaḥ
187	akṣāṇāṃ vagmum avajighram āpaḥ
188	akṣāṇāṃ gaṇam upalipsamānāḥ
189	akṣānaho nahyatanota somyāḥ
190	akṣān iva śvaghnī ni minoti tāni
191	akṣān na śvaghnī bhuvanā mimīte
192	akṣān yad babhrūn ālabhe
193	akṣāsa id aṅkuśino nitodinaḥ
194	akṣāso asya vi tiranti kāmam
195	akṣitaṃ vyacyamānaṃ salilasya pṛṣṭhe
196	akṣitam akṣityai juhomi svāhā
197	akṣitam asi mā pit. ṝṇāṃ kṣeṣṭhā amutrāmuṣmiṃl loke
198	akṣitam asi mā me kṣeṣṭhāḥ
199	akṣitam asy akṣitaṃ me bhūyāḥ
200	akṣitām upa jīvati
201	akṣitāya svāhā
202	akṣitās ta upasadaḥ
203	akṣitāḥ santu rāśayaḥ
204	akṣitiṃ devebhyo bhāsā tapantīm
205	akṣitiṃ bhūyasīm
206	akṣitir asi mā me kṣeṣṭhā amutrāmuṣmiṃl loka iha ca
207	akṣitir nāma te asau
208	akṣitir bhavatāt tvam
209	akṣitiś ca kṣitiś ca yā
210	akṣitiś ca me kūyavāś ca me
211	akṣitotiḥ saned imam
212	akṣito nāmāsi
213	akṣito'si
214	akṣito'sy akṣityai tvā
215	akṣito'sy akṣityai tvā mā me kṣeṣṭhā amutrāmuṣmiṃl loke
216	akṣiduḥkhotthitasyaiva
217	akṣivepaṃ duḥṣvapnyam
218	akṣiśalyaḥ kṛṇutām āyanāya
219	akṣī iva cakṣuṣā yātam arvāk
220	akṣībhyāṃ svāhā
221	akṣībhyāṃ te nāsikābhyām
222	akṣīyamāṇam upajīvatainat
223	akṣīyamāṇā svadhayā madanti
224	akṣuc ca me'nnaṃ ca me
225	akṣuc cānnaṃ ca
226	akṣudhyā atṛṣyā sta
227	akṣum opaśaṃ vitatam
228	akṣetravit kṣetravidaṃ hy aprāṭ
229	akṣetravid yathā mugdhaḥ
230	akṣeṣu kṛtyāṃ yāṃ cakruḥ
231	akṣeṣu strīṣu mā bhagaḥ
232	akṣair badhyāsam aprati
233	akṣair mā dīvyaḥ kṛṣim it kṛṣasva
234	akṣodayac chavasā kṣāma budhnam
235	akṣo na cakryoḥ śūra bṛhan
236	akṣo vaś cakrā samayā vi vāvṛte
237	akṣos tanvo rapaḥ
238	akṣṇayoḥ kṣipaṇer iva
239	akṣṇaś cid gātuvittarā
240	akṣṇo'rmam apa lumpatu
241	akṣyāmayam udumbarāt
242	akṣyāv api vyayāmasi
243	akṣyoś cakṣuḥ
244	akṣyos tanvo rapaḥ
245	akṣyau kāmena śuṣyatām
246	akṣyau ca te mukhaṃ ca te
247	akṣyau nikaraṇī tava
248	akṣyau ni vidhya hṛdayaṃ ni vidhya
249	akṣyau nau madhusaṃkāśe
250	akṣyau me madhusaṃdṛśī
251	akṣyau vṛkasya nir jahi
252	akṣyau vṛṣaṇyantyāḥ keśāḥ
253	akhidrāḥ prajā abhivipaśya
254	akhkhalīkṛtyā pitaraṃ na putraḥ
255	akhyad devo rocamānā mahobhiḥ
256	agachataṃ kṛpamāṇaṃ parāvati
257	agachata savitur dāśuṣo gṛham
258	agachad u vipratamaḥ sakhīyan
259	agacho rocanaṃ divaḥ
260	agadaṃ jānubhyām
261	agado vai bhaviṣyasi
262	agan
263	agan devān
264	agan devān mānuṣī yā purābhūt
265	agan devān yajñaḥ
266	agann agniḥ
267	agann agnir yathālokam
268	agann ājiṃ yathā hitam
269	agann indraṃ mahate saubhagāya
270	agann indra śravo bṛhat
271	agan prāṇaḥ svargaṃ lokaṃ jite jayāmy abhayaṃ me'lokatāyā aputratāyā apaśutāyāḥ
272	aganma jyotir amṛtā abhūma
273	aganma jyotir avidāma devān
274	aganma jyotir uttamam
275	aganma jyotir jyotir aganma
276	aganma tamasas pāram asya
277	aganma devāḥ svaḥ svar aganma
278	aganma bibhrato namaḥ
279	aganma mahā namasā yaviṣṭham
280	aganma yatra pratiranta āyuḥ
281	aganma vajrinn āśasaḥ
282	aganma viśvavedasam
283	aganma vṛtrahantamam
284	aganma śarma te vayam
285	aganma svaḥ
286	aganma svaḥ svar aganma
287	aganmahi manasā saṃ śivena
288	agan sa devaḥ paramaṃ sadhastham
289	agavyūti kṣetram āganma devāḥ
290	agastyaḥ khanamānaḥ khanitraiḥ
291	agastyayaḥ kaṇvāḥ kutsāḥ prasravaṇāḥ
292	agastyasya tryāyuṣam
293	agastyasya nadbhyaḥ
294	agastyasya putrāsaḥ
295	agastyasya brahmaṇā
296	agastyena medinā
297	agastye nāsatyā madantā
298	agastye brahmaṇā vāvṛdhānā
299	agastyo narāṃ nṛṣu praśastaḥ
300	agastyo yat tvā viśa ājabhāra
301	agā3n agnīt
302	agūhat tamo vy acakṣayat svaḥ
303	agṛbhīt
304	agṛbhītāḥ paśavaḥ santu sarve
305	agṛbhīṣata
306	agṛhītebhyaḥ svāhā
307	agotāṃ nāṣṭrāṃ pāpmānam
308	agotām anapatyatām
309	agor arir ā ciketa
310	agorudhāya gaviṣe
311	agohyaṃ yac chravayanta aitana
312	agohya ka idaṃ no abūbudhat
313	agohyasya yad asastanā gṛhe
314	agdhād eko'hutād ekaḥ samasanād ekaḥ
315	agna āgacha rohitava āgacha bharadvājasyāja sahasaḥ sūno vārāvaskandinn uṣaso jāra
316	agna āgacha rohitābhyāṃ vṛhadbhāno dhūmaketo jātavedo vicarṣaṇa āṅgirasa brāhmaṇāṅgirasa bruvāṇa
317	agna ājyasya vyantu vaujhak
318	agna ājyena vardhayan
319	agna ā yāhi vītaye
320	agna ā yāhy agnibhiḥ
321	agna āyuḥkārāyuṣmāṃs tvaṃ tejasvān deveṣv edhi
322	agna āyūṃṣi pavase
323	agna āvasathya pariṣadya juṣasva svāhā
324	agna ā vaha
325	agna iḍā nama iḍā nama ṛṣibhyo mantrakṛdbhyo mantrapatibhyo namo vo astu devebhyaḥ
326	agna iḍā sam idhyase
327	agna itthetarā giraḥ
328	agna inoṣi martāt
329	agna indra varuṇa mitra devāḥ
330	agna indraś ca dāśuṣe
331	agna indraś ca dāśuṣo duroṇe
332	agna indreṇa vāyunā
333	agna iṣam ūrjaṃ yajamānāya dhehi
334	agna udadhe yā ta iṣur yuvā nāma tayā no mṛḍa, tasyās te namas, tasyās ta upajīvanto bhūyāsma
335	agna un mādayā tvam
336	agna etaṃ te brahmacāriṇaṃ pari dadāmi
337	agna eṣu kṣayeṣv ā
338	agna ojiṣṭham ā bhara
339	agnaya ādityaṃ gṛhṇāmy ahne rātrim
340	agnaya ā vṛścate'dadat
341	agnaya indumate'nu brūhi
342	agnaya indrāgnibhyām
343	agnaya upāhvayadhvam
344	agnayaḥ
345	agnayaḥ sagarā stha sagareṇa nāmnā raudreṇānīkena pāta māgnayaḥ pipṛta māgnayo gopāyata mā namo vo'stu mā mā hiṃsiṣṭa
346	agnayaḥ sagarāḥ sagarā agnayaḥ sagarāḥ stha sagareṇa nāmnā pāta māgnayaḥ pipṛta māgnayo namo vo astu mā mā hiṃsiṣṭa
347	agnayaḥ sagarāḥ sagarā stha sagareṇa nāmnā raudreṇānīkena pāta māgnayaḥ pipṛta māgnayo gopāyata mā namo vo'stu mā mā hiṃsiṣṭa
348	agnayā ekākṣarāya chandase svāhā
349	agnaye aṃsalam
350	agnaye'ṃhomuce'ṣṭākapālaḥ
351	agnaye karmakṛte svāhā
352	agnaye kavyavāhanāya manthaḥ
353	agnaye kavyavāhanāya svadhā namaḥ
354	agnaye kavyavāhanāya svadhā svāhā
355	agnaye kavyavāhanāya svāhā
356	agnaye kavyavāhanāya sviṣṭakṛte svadhā namaḥ
357	agnaye kavyavāhanāyānu brūhi
358	agnaye kāṇḍarṣaye svāhā
359	agnaye kāmāya svāhā
360	agnaye kuṭārūn ālabhate
361	agnaye kṣāmavate svāhā
362	agnaye gāyatrāya trivṛte rāthaṃtarāyāṣṭākapālaḥ
363	agnaye gṛhapataye pāruṣṇān
364	agnaye gṛhapataye rayipataye puṣṭipataye kāmāyānnādyāya svāhā
365	agnaye gṛhapataye rayimate puṣṭipataye svāhā
366	agnaye gṛhapataye svāhā
367	agnaye'gnivate svāhā
368	agnaye'gnīṣomābhyām
369	agnaye ghṛtaṃ bhava
370	agnaye ca tvā pṛthivyai connayāmi
371	agnaye ca prajāpataye ca rātrau
372	agnaye janavide svāhā
373	agnaye jātavedase
374	agnaye jātāya
375	agnaye jātāyānubrūhi
376	agnaye jyotiṣmate svāhā
377	agnaye tantumate svāhā
378	agnaye tapasvate janadvate pāvakavate svāhā
379	agnaye tvā
380	agnaye tvā gāyatrachandasaṃ gṛhṇāmi
381	agnaye tvā juṣṭaṃ prokṣāmi
382	agnaye tvā tejasvate
383	agnaye tvā pari dadāmi
384	agnaye tvā pavamānāya
385	agnaye tvā pāvakāya
386	agnaye tvā pravṛhāmi gāyatreṇa chandasā
387	agnaye tvā bṛhate nākāya
388	agnaye tvā mahyaṃ varuṇo dadātu (MS. dadāti), so'mṛtatvam aśīya (VSK. aśyāt), āyur dātra edhi mayo mahyaṃ pratigrahītre
389	agnaye tvāyuṣmate
390	agnaye tvā rāyaspoṣade
391	agnaye tvā varcase
392	agnaye tvā vasumate svāhā
393	agnaye tvā vaiśvānarāya
394	agnaye tvā śucaye
395	agnaye tvā svāhā
396	agnaye dāṣṭy avase
397	agnaye devebhyaḥ pitṛbhyaḥ samidhyamānāyānubrūhi
398	agnaye devebhyo dhukṣva
399	agnaye dhūṅkṣṇā
400	agnaye namaḥ
401	agnaye'nīkavate prathamajān ālabhate
402	agnaye'nīkavate prātar aṣṭākapālaḥ
403	agnaye'nīkavate rohitāñjir anaḍvān
404	agnaye'nubrūhi
405	agnaye'numataye svāhā
406	agnaye'nnapataye svāhā
407	agnaye'nnādāya svāhā
408	agnaye'nnādāyānnapataye svāhā
409	agnaye pathikṛte svāhā
410	agnaye pavamānāya
411	agnaye pavamānāyānubrūhi
412	agnaye pavitravate svāhā
413	agnaye pāvakāya
414	agnaye pīvanam
415	agnaye puraḥsade svāhā
416	agnaye puroḍāśasya preṣya
417	agnaye puroḍāśasyānubrūhi
418	agnaye puroḍāśānām anubrūhi
419	agnaye puroḍāśān prasthitān preṣya
420	agnaye pṛthivīkṣite svāhā
421	agnaye prajanayitave
422	agnaye praṇīyamānāyānubrūhi
423	agnaye prahriyamāṇāya
424	agnaye prahriyamāṇāyānubrūhi
425	agnaye preṣya
426	agnaye'psumate svāhā
427	agnaye balimate svāhā
428	agnaye bṛhate nākāya
429	agnaye brahma ṛbhavas tatakṣuḥ
430	agnaye bharatā bṛhat
431	agnaye mathyamānāyānubrūhi
432	agnaye madhumad vacaḥ
433	agnaye marutvate svāhā
434	agnaye yaviṣṭhāya trayo nakulāḥ
435	agnaye rakṣoghne svāhā
436	agnaye rayimate paśumate puṣṭipataye svāhā
437	agnaye rayimate svāhā
438	agnaye varuṇāya svāhā
439	agnaye vasumate somāya rudravata indrāya marutvate varuṇāyādityavate'nubrūhi
440	agnaye vivicaye svāhā
441	agnaye vītamanyave svāhā
442	agnaye vītaye svāhā
443	agnaye vaiśvānarāya dvādaśakapālaḥ
444	agnaye vaiśvānarāya dvādaśakapālo mṛgākhare yadi nāgachet
445	agnaye vaiśvānarāya suvargāya lokāyā svāhā
446	agnaye vaiśvānarāya svāhā
447	agnaye vaiśvānarāyānubrūhi
448	agnaye vo juṣṭaṃ prokṣāmi
449	agnaye vo juṣṭān nirvapāmy amuṣmai vo juṣṭān
450	agnaye vo juṣṭān prokṣāmy amuṣmai vo juṣṭān
451	agnaye vratapataye svāhā
452	agnaye vratabhṛte svāhā
453	agnaye śucaye
454	agnaye śucaye svāhā
455	agnaye śulkaṃ harāmi tviṣīmate
456	agnaye saṃvargāya svāhā
457	agnaye saṃveśapataye svāhā
458	agnaye sam anamat pṛthivyai sam anamad, yathāgniḥ pṛthivyā sam anamad evaṃ mahyaṃ bhadrāḥ saṃnatayaḥ saṃ namantu
459	agnaye sam anaman tasmai pṛthivyā sam anaman
460	agnaye samidham āhārṣam
461	agnaye samidhyamānāya hotar anubrūhi
462	agnaye samidhyamānāyānubrūhi
463	agnaye surabhimate svāhā
464	agnaye svāhā
465	agnaye svāhā somāya pavitravate varuṇāya dhanvantaraye manasā prājāpatyaṃ brahmaṇe'gnaye sviṣṭakṛte
466	agnaye svāhā somāya svāhāgniṣomābhyām indrāgnibhyām indrāya viśvebhyo devebhyo brahmaṇe prajāpataye'gnaye sviṣṭakṛte
467	agnaye sviṣṭakṛte
468	agnaye sviṣṭakṛte'nubrūhi
469	agnaye sviṣṭakṛte preṣya
470	agnaye sviṣṭakṛte suhutahute sarvaprāyaścittāhutīnāṃ kāmānāṃ samardhayitre sarvān naḥ kāmān samardhaya svāhā
471	agnaye sviṣṭakṛte svāhā
472	agnaye hiraṇyavate svāhā
473	agnayo na jaramāṇā anu dyūn
474	agnayo na śuśucānā ṛjīṣiṇaḥ
475	agnayo na svavidyutaḥ
476	agnayo vāyavaś caiva
477	agnayo vai trayī vidyā devayānaḥ panthā
478	agnayo vyanto ajarāḥ
479	agnā u vasuvane vasudheyasya vetu vaujhak
480	agnāgne
481	agnā deveṣu pūrvyaḥ
482	agnāyīṃ somapītaye
483	agnā yo martyo duvaḥ
484	agnāv agniś carati praviṣṭaḥ
485	agnāv agne
486	agnāv asyā mahimānaṃ juhomi
487	agnāv indra āditye viśveṣu ca deveṣu caritaṃ te brahmacaryam
488	agnāv iva samidhāne havir bhare
489	agnāviṣṇū mahi tad vāṃ mahitvam
490	agnāviṣṇū mahi dhāma priyaṃ vām
491	agnāviṣṇū mā vām ava kramiṣam
492	agnāviṣṇū vi jihāthām
493	agnāviṣṇū sajoṣasā
494	agniḥ kaṇvāya saubhagam
495	agniḥ kāmasya yo mahān
496	agniḥ kravyādaṃ nudasva
497	agniḥ kṣatrabhṛd anibhṛṣṭam ojaḥ
498	agniḥ pacan rakṣatu tvā purastāt
499	agniḥ pacan rakṣatv odanam imam
500	agniḥ pareṣu dhāmasu
501	agniḥ pareṣu sānuṣu
502	agniḥ pavitraṃ sa mā punātu
503	agniḥ paśur āsīt tenāyajanta sa etaṃ lokam ajayad yasminn agniḥ sa te loko bhaviṣyati taṃ jeṣyasi
504	agniḥ pātu gṛṇato agniḥ sūrīn
505	agniḥ pāvaka īḍyaḥ
506	agniḥ pāvako'gniḥ śuciḥ
507	agniḥ pipartv ayasā sajoṣāḥ
508	agniḥ putrasya jyeṣṭhasya
509	agniḥ purastād ā yachatu
510	agniḥ pūrva ā rabhatām
511	agniḥ pūrvebhir ṛṣibhiḥ
512	agniḥ pṛthivyā vaśī
513	agniḥ pṛthur dharmaṇas patir juṣāṇo agniḥ pṛthur dharmaṇas patir ājyasya vetu svāhā
514	agniḥ prajāpatiḥ somo rudro'ditir bṛhaspatiḥ sarpā ity etāni prāgdvārāṇi daivatāni sanakṣatrāṇi sagrahāṇi sāhorātrāṇi samuhūrtāni tarpayāmi
515	agniḥ prajāṃ bahulāṃ me karotu
516	agniḥ pratnena manmanā
517	agniḥ prathamaḥ prāśnātu
518	agniḥ prathamo vasubhir no avyāt
519	agniḥ pravidvān iha tat kṛṇotu
520	agniḥ pravidvān iha vo yunaktu
521	agniḥ prastotā
522	agniḥ prastotāhaṃ mānuṣaḥ
523	agniḥ pra stautu vi mṛdho nudasva
524	agniḥ prāṇān saṃ dadhāti
525	agniḥ prātaḥsavane pātv asmān
526	agniḥ prāvan mitrota medhyātithim
527	agniḥ prāśnātu prathamaḥ
528	agniḥ priyatanor iva
529	agniḥ priyeṣu dhāmasu
530	agniṃ yaja
531	agniṃ yajadhvaṃ haviṣā tanā girā
532	agniṃ yajñeṣu pūrvyam
533	agniṃ yanti draviṇaṃ bhikṣamāṇāḥ
534	agniṃ yanturam apturam
535	agniṃ yamaṃ mātariśvānam āhuḥ
536	agniṃ yaś cakra āsyam
537	agniṃ yā garbhaṃ dadhire virūpāḥ
538	agniṃ yujam akṛta vājy arvā
539	agniṃ yunajmi śavasā ghṛtena
540	agniṃ rathaṃ na vedyam
541	agniṃ rathānāṃ yamam
542	agniṃ rājantaṃ divyena śociṣā
543	agniṃ rājānaṃ cāntareṇa mā saṃcāriṣṭa
544	agniṃ rāye purumīḍha śrutaṃ naraḥ
545	agniṃ vaḥ pūrvyaṃ huve
546	agniṃ vaḥ pūrvyaṃ girā
547	agniṃ vayaṃ trātāraṃ yajāmahe menihanaṃ valagahanam
548	agniṃ vayaṃ trātāraṃ havāmahe
549	agniṃ vayo antarikṣe patantaḥ
550	agniṃ vardhantu no giraḥ
551	agniṃ vasiṣṭho havate purohitaḥ
552	agniṃ vasumantaṃ somaṃ rudravantam indraṃ marutvantaṃ varuṇam ādityavantaṃ yaja
553	agniṃ viśa īḍate adhvareṣu
554	agniṃ viśa īḍate mānuṣīr yāḥ
555	agniṃ viśvamano girā
556	agniṃ viśvā abhi pṛkṣaḥ sacante
557	agniṃ viśvāyuvepasam
558	agniṃ viśveṣām aratiṃ vasūnām
559	agniṃ vṛṇānā vṛṇate kavikratum
560	agniṃ vaiśvānaraṃ yaja
561	agniṃ vaiśvānaraṃ vibhum
562	agniṃ vaiśvānaraṃ gacha svāhā
563	agniṃ vo duryaṃ vacaḥ
564	agniṃ vo devam agnibhiḥ sajoṣāḥ
565	agniṃ vo devayajyayā
566	agniṃ vo vṛdhantam
567	agniṃ vyuṣṭiṣu kṣapaḥ
568	agniṃ śaṃ yoś ca dātave
569	agniṃ śamanam ud bhare
570	agniṃ śastibhis turvaṇiḥ sajoṣāḥ
571	agniṃ śukreṇa śociṣā
572	agniṃ śumbhāmi manmabhiḥ
573	agniṃ śreṣṭhaśociṣam
574	agniṃ sa ṛchatu yo maitasyai diśo'bhidāsati
575	agniṃ sacanta vidyuto na śukrāḥ
576	agniṃ sadiśāṃ devaṃ devatānām ṛchatu yo maitasyai diśo'bhidāsati
577	agniṃ sadhasthe mahati
578	agniṃ sadhasthe sadaneṣu sukratum
579	agniṃ sadhasthe sadaneṣv acyutam
580	agniṃ sadhasthe sadaneṣv adbhutam
581	agniṃ samādhehi
582	agniṃ samiddhaṃ bhagam ūtaye huve
583	agniṃ samudravāsasam
584	agniṃ sāmityam upa saṃ sadema
585	agniṃ sāmrājyāya
586	agniṃ sudītaye chardiḥ
587	agniṃ sudītiṃ sudṛśaṃ gṛṇantaḥ
588	agniṃ sumnāya dadhire puro janāḥ
589	agniṃ sūktebhir vacobhir īmahe
590	agniṃ sūnuṃ sanaśrutam
591	agniṃ sūnuṃ sahaso jātavedasam
592	agniṃ sūryaṃ candram
593	agniṃ somaṃ sviṣṭakṛt
594	agniṃ somam
595	agniṃ stuhi daivavātaṃ devaśravaḥ
596	agniṃ stomena bodhaya
597	agniṃ stoṣāṇy ajaraṃ bṛhantam
598	agniṃ sruco adhvareṣu prayatsu
599	agniṃ svāhā
600	agniṃ sviṣṭakṛtaṃ yaja
601	agniṃ sviṣṭakṛtam
602	agniṃ sviṣṭakṛtam ā huvema
603	agniṃ sve yonāv abhār ukhā
604	agniṃ haviṣā vardhantaḥ
605	agniṃ havyāya voḍhave
606	agniṃ havyebhir īḍate
607	agniṃ hitaprayasaḥ śaśvatīṣv ā
608	agniṃ hinvantu no dhiyaḥ
609	agniṃ huvema paramāt sadhasthāt
610	agniṃ hṛdayena
611	agniṃ hṛdayyaṃ śokam
612	agniṃ hotāraṃ vidathāya jījanan
613	agniṃ hotāram ajaraṃ rathaspṛtam
614	agniṃ hotāram adha dhīr ajāyata
615	agniṃ hotāram antarā vivṛttāḥ
616	agniṃ hotāram iha taṃ huve
617	agniṃ hotāram īḍate
618	agniṃ hotāram īḍate namobhiḥ
