text	position	sen.id	word.position	word	lemma	lemma.id	pos	case	number	gender	tense	mood	verb.form	person	voice	formation	head.position	label	sublabel	word.semantics	register	time.slot	veda	sakha	group	is.mantra	syntax.status	head.pos	head.word	head.label	citation	sentence
Śvetāśvataropaniṣad	2088	470036_1	32	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	33	case	sim	_	metrical	5-SU	Black YV	None	U	FALSE	gold	NOUN	analam	conj	ŚvetU, 6, 18	yaḥ brahmāṇam vidadhāti pūrvam yaḥ vai vedān ca prahiṇoti tasmai tam ha devam ātman buddhi prakāśam mumukṣuḥ vai śaraṇam _ prapadye niṣkalam niṣkriyam śāntam niravadyam nirañjanam amṛtasya param setum _ indhanam iva analam
Śatapathabrāhmaṇa	672	485969_4	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	discourse	_	_	prose	4-PL	White YV	Mādhyandina	B	FALSE	gold	ADV	evam	advmod	ŚBM, 1, 1, 1, 20	evam iva hi mithunam kﾱptam
Śatapathabrāhmaṇa	16147	486877_4	4	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	3	discourse	temp	_	prose	4-PL	White YV	Mādhyandina	B	FALSE	gold	VERB	pibdamānā	acl	ŚBM, 1, 8, 1, 7	sā ha pibdamānā iva udeyāya
Śatapathabrāhmaṇa	16676	486913_1	7	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	6	discourse	_	_	prose	4-PL	White YV	Mādhyandina	B	FALSE	gold	ADV	nānā	advmod	ŚBM, 1, 8, 1, 25	sa vai catuḥ upahvayamānaḥ atha nānā iva upahvayate ajāmitāyai
Śatapathabrāhmaṇa	16714	486913_6	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	discourse	_	_	prose	4-PL	White YV	Mādhyandina	B	FALSE	gold	ADV	anyathā	root	ŚBM, 1, 8, 1, 25	anyathā iva ca bhavati
Śatapathabrāhmaṇa	17288	486945_1	3	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	2	discourse	_	_	prose	4-PL	White YV	Mādhyandina	B	FALSE	gold	ADJ	yajñiyayā	acl	ŚBM, 1, 8, 1, 43	pāka yajñiyayā iva vai etat iḍayā acāriṣuḥ
Śatapathabrāhmaṇa	22712	487333_1	4	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	3	discourse	_	_	prose	4-PL	White YV	Mādhyandina	B	FALSE	gold	VERB	tirohitam	root	ŚBM, 3, 7, 1, 4	na atra tirohitam iva asti
Śatapathabrāhmaṇa	22989	487349_1	9	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	8	discourse	_	_	prose	4-PL	White YV	Mādhyandina	B	FALSE	gold	VERB	saṃgṛhītam	advcl	ŚBM, 3, 7, 1, 12	pippalam ha eva asya etat yat madhye saṃgṛhītam iva bhavati
Śatapathabrāhmaṇa	23005	487349_3	9	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	8	discourse	_	_	prose	4-PL	White YV	Mādhyandina	B	FALSE	gold	ADJ	upenitam	acl	ŚBM, 3, 7, 1, 12	sa yat eva idam sambandhanam ca antarā upenitam iva tat eva etat karoti
Śatapathabrāhmaṇa	23013	487349_4	4	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	3	discourse	_	_	prose	4-PL	White YV	Mādhyandina	B	FALSE	gold	VERB	saṃgṛhītam	root	ŚBM, 3, 7, 1, 12	tasmāt madhye saṃgṛhītam iva bhavati
Śatapathabrāhmaṇa	23233	487363_2	19	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	18	flat	_	_	prose	4-PL	White YV	Mādhyandina	B	FALSE	gold	NOUN	divi	flat	ŚBM, 3, 7, 1, 18	tām viṣṇoḥ vijitim paśyata iti eva etat āha yat āha tat viṣṇoḥ paramam padam sadā paśyanti sūrayaḥ divi iva cakṣuḥ ātatam iti
Śatapathabrāhmaṇa	23247	487365_2	3	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	2	discourse	_	_	prose	4-PL	White YV	Mādhyandina	B	FALSE	gold	ADV	atra	advmod	ŚBM, 3, 7, 1, 19	tasmāt atra iva parivyayati
Śatapathabrāhmaṇa	23250	487365_3	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	discourse	_	_	prose	4-PL	White YV	Mādhyandina	B	FALSE	gold	ADV	atra	root	ŚBM, 3, 7, 1, 19	atra iva hi idam vāsaḥ bhavati
Śatapathabrāhmaṇa	23261	487365_5	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	discourse	_	_	prose	4-PL	White YV	Mādhyandina	B	FALSE	gold	ADV	atra	advmod	ŚBM, 3, 7, 1, 19	atra iva hi idam annam pratitiṣṭhati
Śatapathabrāhmaṇa	23268	487365_6	3	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	2	discourse	_	_	prose	4-PL	White YV	Mādhyandina	B	FALSE	gold	ADV	atra	advmod	ŚBM, 3, 7, 1, 19	tasmāt atra iva parivyayati
Śatapathabrāhmaṇa	46910	488728_4	3	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	5	discourse	_	_	prose	3-PO	White YV	Mādhyandina	B	FALSE	gold	NOUN	śiraḥ	root	ŚBM, 6, 1, 1, 4	tasmāt vā iva etat śiraḥ
Śatapathabrāhmaṇa	47208	488741_8	4	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	3	discourse	_	_	prose	3-PO	White YV	Mādhyandina	B	FALSE	gold	VERB	arasat	acl	ŚBM, 6, 1, 1, 11	atha yat arasat iva sa rāsabhaḥ abhavat
Śatapathabrāhmaṇa	47856	488779_3	6	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	7	discourse	_	_	prose	3-PO	White YV	Mādhyandina	B	FALSE	gold	VERB	hitā	root	ŚBM, 6, 1, 2, 15	prāṇe hi iyam vāc upa iva hitā
Śatapathabrāhmaṇa	47869	488779_6	6	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	7	discourse	_	_	prose	3-PO	White YV	Mādhyandina	B	FALSE	gold	VERB	hitāni	root	ŚBM, 6, 1, 2, 15	prāṇe hi imāni aṅgāni upa iva hitāni
Baudhāyanadharmasūtra	641	503100_1	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	case	sim	_	prose	5-SU	Black YV	Taittirīya	DhS	FALSE	gold	NOUN	daṇḍaḥ	obl	BaudhDhSū, 1, 3, 40	daṇḍaḥ iva plavet
Baudhāyanadharmasūtra	693	503110_1	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	case	_	_	prose	5-SU	Black YV	Taittirīya	DhS	FALSE	gold	NOUN	agniḥ	advcl	BaudhDhSū, 1, 4, 2	agniḥ iva kakṣam dahati brahma pṛṣṭam an ādṛtam
Aitareyopaniṣad	534	539534_1	3	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	2	discourse	_	_	prose	4-PL	RV	Āśvalāyana	U	FALSE	gold	ADJ	priyāḥ	root	AU, 1, 3, 14	parokṣa priyāḥ iva hi devāḥ
Aitareyopaniṣad	539	539534_2	3	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	2	discourse	_	_	prose	4-PL	RV	Āśvalāyana	U	FALSE	gold	ADJ	priyāḥ	root	AU, 1, 3, 14	parokṣa priyāḥ iva hi devāḥ
Aitareyopaniṣad	789	539567_2	5	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	4	discourse	_	_	prose	4-PL	RV	Āśvalāyana	U	FALSE	gold	ADJ	miśrāni	acl	AU, 3, 3, 1	etāni imāni kṣudra miśrāni iva bījāni itarāṇi ca itarāṇi ca aṇḍa jāni ca jārujāni ca sveda jāni ca udbhid jāni ca aśvāḥ gāvaḥ puruṣāḥ hastinaḥ yat kiṃca idam _ jaṃgamam ca patatri ca yat ca sthāvaram
Pañcaviṃśabrāhmaṇa	4055	548261_1	4	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	3	discourse	_	_	prose	4-PL	SV	Kauthuma	B	FALSE	gold	NOUN	īrmaḥ	ccomp	PB, 4, 2, 10	tat āhuḥ īrmaḥ iva vai eṣā hotrā yat acchāvākyā yat acchāvākam anusaṃtiṣṭhate īśvarā īrmāḥ bhavitoḥ iti
Pañcaviṃśabrāhmaṇa	4182	548269_1	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	discourse	_	_	prose	4-PL	SV	Kauthuma	B	FALSE	gold	NOUN	mithunam	root	PB, 4, 2, 18	mithunam iva vai eṣā vyāhṛtiḥ
Pañcaviṃśabrāhmaṇa	4444	548289_1	4	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	3	discourse	_	_	prose	4-PL	SV	Kauthuma	B	FALSE	gold	NOUN	saṃśaraḥ	ccomp	PB, 4, 4, 4	tat āhuḥ saṃśaraḥ iva vai eṣa chandasām yat dve _ saṃyuñjanti iti
Pañcaviṃśabrāhmaṇa	4743	548309_1	5	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	4	case	sim	_	prose	4-PL	SV	Kauthuma	B	FALSE	gold	NOUN	praskandaḥ	ccomp	PB, 4, 5, 13	tat āhuḥ karta praskandaḥ iva vai eṣa trayastriṃśataḥ saptadaśam upayanti iti
Pañcaviṃśabrāhmaṇa	4815	548315_1	4	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	3	case	sim	_	prose	4-PL	SV	Kauthuma	B	FALSE	gold	ADJ	vivīvadham	ccomp	PB, 4, 5, 19	tat āhuḥ vivīvadham iva vai etat agniṣṭomaḥ viṣuvān agniṣṭomau viśvajit _ atha itare ukthāḥ syuḥ iti
Pañcaviṃśabrāhmaṇa	5566	548380_2	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	discourse	_	_	prose	4-PL	SV	Kauthuma	B	FALSE	gold	VERB	āptvā	advcl	PB, 4, 9, 14	āptvā iva enam tat vyācakṣate tāvat āpāma enam iti
Pañcaviṃśabrāhmaṇa	5588	548383_1	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	discourse	_	_	prose	4-PL	SV	Kauthuma	B	FALSE	gold	VERB	dugdhāni	root	PB, 4, 9, 17	dugdhāni iva vai tarhi chandāṃsi yātayāmāni anta gatāni
Pañcaviṃśabrāhmaṇa	9116	548640_1	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	mark	sim	_	prose	4-PL	SV	Kauthuma	B	FALSE	gold	ADJ	prakkāṇāḥ	advcl	PB, 6, 7, 10	prakkāṇāḥ iva sarpanti
Pañcaviṃśabrāhmaṇa	9119	548640_2	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	discourse	_	_	prose	4-PL	SV	Kauthuma	B	FALSE	gold	ADJ	pratikūlam	root	PB, 6, 7, 10	pratikūlam iva hi itas svargaḥ lokaḥ
Pañcaviṃśabrāhmaṇa	9125	548640_3	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	mark	sim	_	prose	4-PL	SV	Kauthuma	B	FALSE	gold	VERB	_	advcl	PB, 6, 7, 10	_ iva sarpanti
Pañcaviṃśabrāhmaṇa	9267	548649_5	5	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	4	discourse	_	_	prose	4-PL	SV	Kauthuma	B	FALSE	gold	ADV	īṣat	advmod	PB, 6, 7, 19	tasmāt adhvaryuṇā prastaraḥ īṣat iva _
Pañcaviṃśabrāhmaṇa	9754	548689_2	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	discourse	_	_	prose	4-PL	SV	Kauthuma	B	FALSE	gold	VERB	sthitā	root	PB, 6, 9, 17	sthitā iva hi eṣā vyāhṛtiḥ
Pañcaviṃśabrāhmaṇa	9770	548691_1	5	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	4	discourse	_	_	prose	4-PL	SV	Kauthuma	B	FALSE	gold	NOUN	indavaḥ	root	PB, 6, 9, 19	yat indavaḥ iti indavaḥ iva hi pitaraḥ
Pañcaviṃśabrāhmaṇa	9774	548692_1	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	discourse	_	_	prose	4-PL	SV	Kauthuma	B	FALSE	gold	NOUN	manaḥ	root	PB, 6, 9, 20	manaḥ iva
Pañcaviṃśabrāhmaṇa	9927	548700_1	3	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	2	discourse	_	_	prose	4-PL	SV	Kauthuma	B	FALSE	gold	VERB	pūtāḥ	root	PB, 6, 10, 2	a pūtāḥ iva vai ete yeṣām dīkṣitānām pramīyate
Bṛhadāraṇyakopaniṣad	1446	551944_1	4	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	3	discourse	_	96765	prose	4-PL	White YV	Mādhyandina	U	FALSE	gold	VERB	tirohitam	root	BĀU, 1, 3, 28	na atra tirohitam iva asti
Bṛhadāraṇyakopaniṣad	1620	551969_1	5	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	4	case	sim	132728	prose	4-PL	White YV	Mādhyandina	U	FALSE	gold	NOUN	bṛgalam	ccomp	BĀU, 1, 4, 3	tasmāt idam ardha bṛgalam iva svaḥ iti ha sma āha yājñavalkyaḥ
Bṛhadāraṇyakopaniṣad	4545	552383_1	3	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	5	case	sim	_	prose	4-PL	White YV	Mādhyandina	U	FALSE	gold	NOUN	rājaḥ	xcomp	BĀU, 2, 1, 18	tat uta iva mahā rājaḥ bhavati uta iva mahā brāhmaṇaḥ
Bṛhadāraṇyakopaniṣad	4550	552383_1	8	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	10	case	sim	_	prose	4-PL	White YV	Mādhyandina	U	FALSE	gold	NOUN	brāhmaṇaḥ	conj	BĀU, 2, 1, 18	tat uta iva mahā rājaḥ bhavati uta iva mahā brāhmaṇaḥ
Bṛhadāraṇyakopaniṣad	4554	552384_1	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	4	discourse	_	_	prose	4-PL	White YV	Mādhyandina	U	FALSE	gold	VERB	nigacchati	root	BĀU, 2, 1, 18	uta iva uccāvacam nigacchati
Bṛhadāraṇyakopaniṣad	15653	553891_2	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	discourse	_	_	prose	4-PL	White YV	Mādhyandina	U	FALSE	gold	VERB	dadṛśe	root	BĀU, 5, 14, 3	dadṛśe iva hi eṣa
Bṛhadāraṇyakopaniṣad	15800	553917_1	7	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	8	discourse	_	_	prose	4-PL	White YV	Mādhyandina	U	FALSE	gold	VERB	pratigṛhṇāti	advcl	BĀU, 5, 14, 5	yadi ha vai api evaṃvid bahu iva pratigṛhṇāti na ha eva tat gāyatryāḥ ekam cana padam prati
Bṛhadāraṇyakopaniṣad	15958	553937_1	6	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	5	discourse	_	_	prose	4-PL	White YV	Mādhyandina	U	FALSE	gold	ADJ	bahu	obj	BĀU, 5, 14, 8	yadi ha vai api bahu iva agnau abhyādadhati sarvam eva tat saṃdahati
Bṛhadāraṇyakopaniṣad	15972	553938_1	8	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	7	discourse	_	_	prose	4-PL	White YV	Mādhyandina	U	FALSE	gold	ADJ	bahu	det	BĀU, 5, 14, 8	evam ha eva evaṃvid yadi api bahu iva pāpam kurute sarvam eva tat saṃpsāya śuddhaḥ pūtaḥ ajaraḥ amṛtaḥ sambhavati
Ṛgveda	86	574937_1	4	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	3	mark	sim	_	metrical	2-MA	RV	Śākala	S	FALSE	gold	NOUN	pitā	advcl	ṚV, 1, 1, 9	sa naḥ pitā iva sūnave agne su upāyanaḥ bhava
Ṛgveda	781	575073_1	6	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	5	case	sim	132728	metrical	2-MA	RV	Śākala	S	FALSE	gold	NOUN	samudraḥ	obl	ṚV, 1, 8, 7	yaḥ kukṣiḥ soma pātamaḥ samudraḥ iva pinvate urvīḥ āpaḥ na kākudaḥ
Ṛgveda	2419	575375_1	9	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	10	case	sim	_	metrical	2-MA	RV	Śākala	S	FALSE	gold	NOUN	cakṣuḥ	obl	ṚV, 1, 22, 20	tat viṣṇoḥ paramam padam sadā paśyanti sūrayaḥ divi iva cakṣuḥ ātatam
Ṛgveda	4308	575660_1	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	3	case	sim	_	metrical	2-MA	RV	Śākala	S	FALSE	gold	NOUN	dhenavaḥ	obl	ṚV, 1, 32, 2	vāśrāḥ iva dhenavaḥ syandamānāḥ añjas samudram ava jagmuḥ āpaḥ
Ṛgveda	4362	575666_1	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	case	sim	_	metrical	2-MA	RV	Śākala	S	FALSE	gold	NOUN	skandhāṃsi	obl	ṚV, 1, 32, 5	skandhāṃsi iva kuliśenā vivṛkṇā ahiḥ śayate upapṛc pṛthivyāḥ
Ṛgveda	4370	575667_1	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	case	sim	_	metrical	2-MA	RV	Śākala	S	FALSE	gold	ADJ	ayoddhā	obl	ṚV, 1, 32, 6	ayoddhā iva durmadaḥ ā hi juhve mahā vīram tuvi bādham ṛjīṣam
Ṛgveda	4477	575677_1	9	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	10	mark	sim	_	metrical	2-MA	RV	Śākala	S	FALSE	gold	NOUN	gāvaḥ	advcl	ṚV, 1, 32, 11	dāsa patnīḥ ahi gopāḥ atiṣṭhan niruddhāḥ āpaḥ paṇinā iva gāvaḥ
Ṛgveda	5872	575847_1	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	case	sim	_	metrical	2-MA	RV	Śākala	S	FALSE	gold	NOUN	vāśrā	obl	ṚV, 1, 38, 8	vāśrā iva vidyut mimāti
Ṛgveda	5935	575859_2	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	case	sim	_	metrical	2-MA	RV	Śākala	S	FALSE	gold	NOUN	parjanyaḥ	obl	ṚV, 1, 38, 14	parjanyaḥ iva tatanaḥ
Ṛgveda	6497	575947_1	3	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	4	case	sim	_	metrical	2-MA	RV	Śākala	S	FALSE	gold	NOUN	sūryaḥ	obl	ṚV, 1, 43, 6	yaḥ śukraḥ iva sūryaḥ hiraṇyam iva rocate śreṣṭhaḥ devānām vasuḥ śam naḥ karati arvate sugam meṣāya meṣye nṛbhyaḥ nāribhyaḥ gave
Ṛgveda	6500	575947_1	6	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	5	case	sim	_	metrical	2-MA	RV	Śākala	S	FALSE	gold	NOUN	hiraṇyam	conj	ṚV, 1, 43, 6	yaḥ śukraḥ iva sūryaḥ hiraṇyam iva rocate śreṣṭhaḥ devānām vasuḥ śam naḥ karati arvate sugam meṣāya meṣye nṛbhyaḥ nāribhyaḥ gave
Ṛgveda	6728	575978_1	10	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	12	case	sim	_	metrical	2-MA	RV	Śākala	S	FALSE	gold	NOUN	ūrmayaḥ	obl	ṚV, 1, 44, 12	yat devānām mitra mahaḥ purohitaḥ antaraḥ yāsi dūtyam sindhoḥ iva prasvanitāsaḥ ūrmayaḥ agneḥ bhrājante arcayaḥ
Ṛgveda	8994	576251_1	11	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	12	case	sim	132728	metrical	2-MA	RV	Śākala	S	FALSE	gold	NOUN	pravaṇe	obl	ṚV, 1, 57, 1	pra maṃhiṣṭhāya bṛhate bṛhadraye satya śuṣmāya tavase matim bhare apām iva pravaṇe yasya durdharam rādhaḥ viśvāyu śavase apāvṛtam
Ṛgveda	9020	576253_2	3	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	mark	sim	132728	metrical	2-MA	RV	Śākala	S	FALSE	gold	NOUN	āpaḥ	orphan	ṚV, 1, 57, 2	āpaḥ nimnā iva savanā haviṣmataḥ
Ṛgveda	9294	576282_2	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	case	sim	_	metrical	2-MA	RV	Śākala	S	FALSE	gold	NOUN	sthūṇā	advcl	ṚV, 1, 59, 1	sthūṇā iva janāṁ upamit yayantha
